Lecture,Age,Major,Zip Code,Latitude,Longitude,Pizza topping,Pet preference,Runner,Sleep habit,Procrastinator
LEC001,22,Engineering: Biomedical,53703,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC006,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC004,18,Engineering: Industrial,53715,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC005,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC002,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC004,18,Engineering: Other|Engineering: Computer,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC003,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC003,18,Data Science,53715,43.073051,-89.40123,pineapple,cat,Yes,no preference,Maybe
LEC006,18,Data Science,53706,35.4,119.11,none (just cheese),dog,No,night owl,Yes
LEC006,18,Mathematics/AMEP,53706,44,-93,pepperoni,dog,No,night owl,Yes
LEC002,21,Engineering: Other,53703,24.713552,46.675297,none (just cheese),cat,Yes,night owl,Maybe
LEC003,19,Data Science,53705,24.6806,46.57936,pineapple,cat,No,early bird,No
LEC004,24,Economics,53703,43,-89,pineapple,cat,Yes,early bird,Yes
LEC003,18,Data Science,53706,36.102371,-115.174553,none (just cheese),dog,No,night owl,Yes
LEC006,22,Psychology,53703,31.78,119.95,mushroom,cat,No,night owl,Yes
LEC005,20,Data Science,53705,37.8,112.5,pepperoni,cat,Yes,night owl,Yes
LEC004,24,Science: Biology/Life,53703,46.872131,-113.994019,pepperoni,dog,Yes,early bird,Yes
LEC004,17,Engineering: Mechanical,53706,46.6242,8.0414,pineapple,dog,No,night owl,Yes
LEC004,19,Engineering: Mechanical,53726,43.073051,-89.40123,none (just cheese),dog,Yes,early bird,No
LEC002,19,Engineering: Mechanical,57303,41.878113,-87.629799,pineapple,dog,No,night owl,Yes
LEC001,,Mathematics/AMEP,53706,31.230391,121.473701,basil/spinach,dog,No,no preference,Maybe
LEC002,19,Mathematics/AMEP,53558,40.712776,-74.005974,sausage,dog,Yes,night owl,Yes
LEC001,20,Economics (Mathematical Emphasis),53703,48.86,2.3522,pepperoni,dog,No,early bird,Yes
LEC001,19,Engineering: Mechanical,53703,24.7,46.7,mushroom,dog,Yes,early bird,Maybe
LEC005,18,Computer Science,53703,37.338207,-121.88633,green pepper,dog,Yes,night owl,Yes
LEC003,19,Engineering: Mechanical,53558,43.073051,-89.40123,pepperoni,dog,No,night owl,Yes
LEC005,20,Engineering: Mechanical,53715,38.9072,-77.0369,Other,cat,No,night owl,Yes
LEC003,20,Data Science,53703,43.073051,-89.40123,pepperoni,dog,No,night owl,Yes
LEC002,21,Science: Other|Political Science,53703,31.768318,35.213711,pepperoni,dog,No,no preference,Maybe
LEC003,19,Mathematics/AMEP,53715,19.075983,72.877655,basil/spinach,cat,No,night owl,Maybe
LEC001,23,Computer Science,53711,43.073929,-89.385239,sausage,dog,No,night owl,Yes
LEC006,21,Business: Other,53715,25.761681,-80.191788,pepperoni,dog,No,night owl,Yes
LEC003,19,Business: Other|Real Estate,53715,117,33,pepperoni,dog,Yes,night owl,No
LEC004,19,Computer Science,53726,47.037872,-122.900696,tater tots,dog,No,night owl,Yes
LEC004,24,Economics,53703,23.12911,113.264381,pepperoni,cat,Yes,early bird,Maybe
LEC005,19,Data Science,53703,64.49796,165.40998,sausage,dog,No,night owl,Yes
LEC003,19,Data Science,53705,25,47,mushroom,cat,No,early bird,Maybe
LEC005,20,Engineering: Other|Engineering Physics: Scientific Computing,53715,43.073051,-89.4,none (just cheese),dog,No,night owl,Yes
LEC005,20,Computer Science,53703,48.856613,2.352222,pepperoni,dog,No,night owl,Yes
LEC002,19,Business: Finance,53726,43.04156,87.91006,pepperoni,dog,No,night owl,Yes
LEC002,21,Data Science,53713,29.868336,121.543991,mushroom,dog,No,night owl,No
LEC004,19,Computer Science,53715,40.712776,-74.005974,pepperoni,dog,No,night owl,Maybe
LEC003,18,Computer Science,53706,5.93876,80.48433,Other,dog,No,night owl,Maybe
LEC005,19,Engineering: Mechanical,53704,38.7,-77,pepperoni,cat,Yes,no preference,No
LEC004,18,Engineering: Mechanical,53726,41.878113,-87.629799,pepperoni,dog,No,night owl,Maybe
LEC005,19,Engineering: Other,53703,36.169941,-115.139832,pepperoni,dog,No,night owl,Maybe
LEC005,19,Engineering: Mechanical,53703,43.078104,-89.431698,pepperoni,dog,Yes,night owl,Yes
LEC006,18,Engineering: Biomedical,53051,33.6846,117.8265,pepperoni,dog,Yes,night owl,Yes
LEC001,22,Engineering: Mechanical,53719,43.073051,-89.40123,none (just cheese),cat,Yes,night owl,Yes
LEC001,18,Computer Science,53706,26.2992,87.2625,mushroom,dog,Yes,night owl,No
LEC001,24,Business: Information Systems,53703,43.073051,-89.40123,macaroni/pasta,cat,No,night owl,No
LEC006,19,Engineering: Mechanical,53703,43.04049,-87.91732,Other,dog,No,night owl,Yes
LEC001,,Computer Science,53715,34.052235,-118.243683,green pepper,dog,No,night owl,Yes
LEC002,20,Statistics,53703,40.7128,74.006,Other,dog,No,night owl,Maybe
LEC005,23,Computer Science,53703,37.5,126.97,pepperoni,dog,No,night owl,No
LEC002,21,Statistics,53703,52.370216,4.895168,pepperoni,dog,Yes,early bird,Maybe
LEC002,18,Undecided,53706,38.56247,-121.70411,pepperoni,dog,Yes,night owl,Yes
LEC006,18,Statistics,53706,40.712776,40.712776,pepperoni,dog,No,night owl,Yes
LEC003,21,Economics,53715,43.073051,-89.40123,none (just cheese),dog,No,night owl,Yes
